Название,Цена,Наличие,Ссылка
"Відеокарта Gigabyte PCI-Ex GeForce RTX 3060 Gaming OC 12GB GDDR6 (192bit) (15000) (2 х HDMI, 2 x DisplayPort) (GV-N3060GAMING OC-12GD)",13 899₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte_gv_n3060gaming_oc_12gd/p274585238/
"Відеокарта Sparkle PCI-Ex Intel Arc B580 Titan OC 12GB GDDR6 (192bit) (2740) (HDMI, 3 x DisplayPort) (SB580T-12GOC)",14 539₴,Є в наявності,https://hard.rozetka.com.ua/ua/sparkle-sb580t-12goc/p479694669/
"Відеокарта MSI PCI-Ex GeForce RTX 3060 Ventus 2X 12G OC 12GB GDDR6 (192bit) (1807/15000) (HDMI, 3 x DisplayPort) (RTX 3060 VENTUS 2X 12G OC)",13 509₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi_rtx_3060_ventus_2x_12g_oc/p274702343/
"Відеокарта Sapphire PCI-Ex Radeon RX 9070 XT PULSE 16GB GDDR6 (256bit) (2970/20000) (2 x HDMI, 2 x DisplayPort) (11348-03-20G)",39 709₴,Є в наявності,https://hard.rozetka.com.ua/ua/sapphire-11348-03-20g/p499012064/
"Відеокарта Sparkle PCI-Ex Intel Arc A310 ECO 4GB GDDR6 (96bit) (1000) (HDMI, 2 x miniDisplayPort) (SA310C-4G)",,Є в наявності,https://hard.rozetka.com.ua/ua/sparkle-sa310c-4g/p503963379/
"Відеокарта ASUS PCI-Ex GeForce RTX 5060 Ti Dual OC Edition 8GB GDDR7 (128bit) (2632/28000) (HDMI, 3 x DisplayPort) (DUAL-RTX5060TI-O8G)",22 409₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rtx5060ti-o8g/p502699644/
"Відеокарта ASRock PCI-Ex Radeon RX 9070 Challenger 16GB GDDR6 (256bit) (2520/20000) (1 x HDMI, 3 x DisplayPort) (90-GA5NZZ-00UANF)",,Є в наявності,https://hard.rozetka.com.ua/ua/asrock-90-ga5nzz-00uanf/p505200514/
"Відеокарта Palit PCI-Ex GeForce RTX 5090 GameRock OC 32GB GDDR7 (512bit) (2527/28000) (HDMI, 3 x DisplayPort) (NE75090S19R5-GB2020G)",135 299₴,Є в наявності,https://hard.rozetka.com.ua/ua/palit-ne75090s19r5-gb2020g/p501160089/
"Відеокарта ASUS PCI-Ex GeForce RTX 5070 Ti PRIME OC Edition 16GB GDDR7 (256bit) (28000) (HDMI, 3 x DisplayPort) (PRIME-RTX5070TI-O16G)",45 179₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-prime-rtx5070ti-o16g/p473252739/
"Відеокарта ASUS PCI-Ex Radeon RX 9070 XT PRIME OC Edition 16GB GDDR6 (256bit) (20000) (HDMI, 3 x DisplayPort) (PRIME-RX9070XT-O16G)",36 189₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-prime-rx9070xt-o16g/p473302369/
"Відеокарта Acer PCI-Ex Intel Arc B570 Nitro OC 10GB GDDR6 (160bit) (2690/19000) (HDMI, 3 x DisplayPort) (DP.Z4CWW.P01)",,Є в наявності,https://hard.rozetka.com.ua/ua/acer-dpz4cwwp01/p507949984/
"Відеокарта Asus PCI-Ex GeForce RTX 3050 Dual OC Edition 8GB GDDR6 (128bit) (1852/14000) (HDMI, DisplayPort, DVI-D) (DUAL-RTX3050-O8G-V2)",10 209₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rtx3050-o8g-v2/p392807751/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 4060 Egle OC 8GB GDDR6 (128bit) (17000) (2 x HDMI, 2 x DisplayPort) (GV-N4060EAGLE OC-8GD)",15 499₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n4060eagle-oc-8gd/p385171773/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5060 Ti EAGLE OC ICE 16G 16GB GDDR7 (128bit) (2617/28000) (HDMI, 3 x DisplayPort) (GV-N506TEAGLEOC ICE-16GD)",,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n506teagleoc-ice-16gd/p506810219/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5060 Ti EAGLE OC ICE 8G 8GB GDDR7 (128bit) (2617/28000) (HDMI, 3 x DisplayPort) (GV-N506TEAGLEOC ICE-8GD)",,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n506teagleoc-ice-8gd/p506805474/
"Відеокарта Acer PCI-Ex Intel Arc B580 Nitro OC 12GB GDDR6 (192bit) (2740/19000) (HDMI, 3 x DisplayPort) (DP.Z4BWW.P01)",,Є в наявності,https://hard.rozetka.com.ua/ua/acer-dpz4bwwp01/p507949989/
